ItemId,CostPrice,RegularPrice,ItemStatus
CR5-1656000,209,274.0,True
CR5-3248000,359,471.0,True
CR5-3252000,369,484.0,True
CR5-848000,98,129.0,True
2CH12856000,1850,2429.0,False
2CH3252001,428,562.0,False
2CH325640K,465,610.0,True
2CH325640W,485,637.0,True
2CH3260001,475,624.0,True
2CH326030BZK,555,729.0,True
2CH3262000,469,616.0,False
2CH3264000,499,655.0,True
2CH5-325200,399,524.0,False
2CH532524000,425,558.0,True
2CH532563602,475,624.0,True
2CH5325636WK,465,610.0,True
2CH5326030,549,721.0,True
2CH5326036,499,655.0,False
2CH53260361,469,616.0,True
2CH5-32603800,469,616.0,False
2CH54860361,540,709.0,True
2CH56452400,730,958.0,False
2CH5645240BZK,740,971.0,True
2CH5-6456401,810,1063.0,True
2CH56460300,975,1280.0,True
2CH5646030BZ,979,1285.0,True
2CH5-64603800,869,1141.0,True
2CH56460400,865,1136.0,False
2CH56462320,1130,1483.0,True
2CH59656400,1190,1562.0,True
2CH6462000,975,1280.0,True
2CK12856402,1670,2192.0,False
2CK325640BCW,421,553.0,True
2CK4860004,554,727.0,True
2CK5-325200,389,511.0,True
2CK53256401,419,550.0,True
2CK532601361,494,648.0,True
2CK5326030BZ,522,685.0,True
2CK5326036DCW,499,655.0,True
2CK5-32603801,399,524.0,False
2CK5326040BZ,419,550.0,True
2CK56452402,684,898.0,True
2CK56452410,685,899.0,True
2CK5-646000,855,1122.0,True
2CK5646030BZ,910,1195.0,True
2CK5-64603801,820,1076.0,True
2CK56460382,819,1075.0,False
2CK56460402,799,1049.0,False
2CK6456004,769,1009.0,True
CK5-32520040C2,389,511.0,False
CK5-32560036C2,464,609.0,True
CK5-64520040C2,680,893.0,True
2CK53260365,448,588.0,True
KV5-848100,119,156.0,False
CR41622,129,169.0,True
CR416321,139,182.0,True
CR43232,275,361.0,True
CR48266U,65,85.0,True
CR48320,75,98.0,True
244728,77,101.0,True
KF4163200,159,209.0,True
KF4323200,299,393.0,True
KF432800,86,113.0,True
KV4163201,155,203.0,True
KV48322201,85,112.0,True
NT-4163200,119,156.0,True
NT-4163252,129,169.0,True
NT-4323252-2,255,335.0,True
NT-483200,63,83.0,True
NT-483252,69,91.0,True
SK163216GD,137,180.0,False
SK163216GIS,129,169.0,False
2CMK832161,83,109.0,True
2CMK836181,85,112.0,False
2CMK1630161,135,177.0,False
2CMK1632161,149,196.0,True
2CMK163216E,169,222.0,True
2CMK163618,175,230.0,False
2CMW163216,209,274.0,True
2CMG3232161,329,432.0,True
2CMH323216,332,436.0,True
2CMH323216W,329,432.0,False
2CMK3232165,295,387.0,True
2CMK3236180,310,407.0,True
2CMN3236181,299,393.0,False
2CMW323216E2,329,432.0,False
2CMW323618D,352,462.0,True
2CMK6432162,563,739.0,True
2CMW643216E2,599,786.0,False
NT-381600,59,77.0,True
SK-D3816,67,88.0,False
KF5-325236-RAE,419,550.0,False
CT16G48C40S5,169,222.0,False
CT32G48C40S5,359,471.0,False
KV5S-164801,209,274.0,False
KV5S-324801,385,505.0,True
MEM-D5-164800S,195,256.0,False
24163222S,149,196.0,True
24434,75,98.0,True
KV48322201S,79,104.0,True
CR41619,129,169.0,True
CR41632S,229,301.0,False
CR41632TS,139,182.0,True
CR4323200S,279,366.0,True
CR48266S,67,88.0,True
CR4832S,75,98.0,True
SK41632220GRS,129,169.0,False
NT-381655,59,77.0,False
94SSD-AG512100,695,954.0,True
94SSD-AG512200,1139,1563.0,True
94SSD-AG450-10,339,465.0,True
94SSD-AG4732-21,385,528.0,True
94SSD-AG4732-22,630,865.0,True
CRS-P3-4004,995,1366.0,False
KSSD-KC30100,359,493.0,True
KSSD-KC30200,595,817.0,True
KSSD-KC30400,1299,1783.0,True
KSSD-SNV2S1000,249,342.0,True
KSSD-SNV2S2000,450,618.0,True
KSSD-SNV2S4000,890,1221.0,True
KSSD-SNV2S500,159,218.0,True
NT-NV701004,349,479.0,True
NT-NV702004,599,822.0,True
NT-NV704004,960,1318.0,True
SSD-SM980P1T,460,631.0,True
SSD-SM980P2T,730,1002.0,True
SSD-SM980P500,299,410.0,False
SSD-SM990P1T,499,685.0,True
